지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
송림공원,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 서구 암남동 124-1,부산광역시 서구 암남동 124-1,35.0767930535,129.023197398,4950,1500,Y,051-240-4654,,한진매립지 지구,,,,미적용,,250,11,,,,부산 서구,051-240-4654,2019-06-30
암남동주민센터 주차장,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 서구 암남동 암남동 257-1,부산광역시 서구 암남동 암남동 257-1,35.078376,129.018496,660,200,Y,051-240-4654,,한진매립지 지구,,,,미적용,,370,22,,,,부산 서구,051-240-4654,2019-06-30
암남공원,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 서구 암남동 313,부산광역시 서구 암남동 313,35.0782143,129.0155937,16500,5000,Y,051-240-4654,,암남공원 지구,,,,미적용,,210,16,,,,부산 서구,051-240-4654,2019-06-30
송도 탑스빌 광장,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 서구 암남동 88-5,부산광역시 서구 암남동 88-5,35.079898156,129.020950001,660,200,Y,051-240-4654,,송도해수욕장 지구,,,,미적용,,160,30,,,,부산 서구,051-240-4654,2019-06-30
공수마을뒷산(멍두산),지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 기장읍 시랑리 690-3,부산광역시 기장군 기장읍 시랑리 690-3,35.1840025169,129.208872692,1320,400,Y,033-123-4567,,공수지구,,,,미적용,,550,30,,,,부산 기장군,033-123-4567,2019-06-30
힐튼호텔 앞 도로,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 기장읍 시랑리 704,부산광역시 기장군 기장읍 시랑리 704,35.2000504104,129.229090248,1650,500,Y,051-709-5427,,동암지구,,,,미적용,,300,21,,,,부산 기장군,051-709-5427,2019-06-30
서암마을 뒤 신도로,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 기장읍 연화리 392,부산광역시 기장군 기장읍 연화리 392,35.124668,129.131800,1650,500,Y,051-709-5427,,서암-신암지구,,,,미적용,,200,28,,,,부산 기장군,051-709-5427,2019-06-30
동생말 언덕,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 남구 용호동 산5-4,부산광역시 남구 용호동 산5-4,35.127632,129.118299,990,300,Y,051-607-4644,,용호섶자리지구,,,,미적용,,600,25,,,,부산 남구,051-607-4644,2019-06-30
신암마을 뒤 신도로,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 기장읍 연화리 208-3,부산광역시 기장군 기장읍 연화리 208-3,35.130832,129.132914,990,300,Y,051-709-5427,,서암-신암지구,,,,미적용,,500,17,,,,부산 기장군,051-709-5427,2019-06-30
한바다중학교,지진해일대피소,지진해일 긴급대피장소,운동장,부산광역시 수영구 남천2동 남천동 151,부산광역시 수영구 남천2동 남천동 151,35.142663,129.112313,4950,1500,Y,051-610-4646,,광안지구,,,,미적용,,445,11,,,,부산 수영구,051-610-4646,2019-06-30
월전마을 야산 사거리,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 기장읍 죽성리 296-1,부산광역시 기장군 기장읍 죽성리 296-1,35.142800,129.142800,1650,500,Y,051-709-5427,,월전-죽성지구,,,,미적용,,520,16,,,,부산 기장군,051-709-5427,2019-06-30
민락동 행정복지센터,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 수영구 남천동 148-15,부산광역시 수영구 남천동 148-15,35.1453713129,129.112370437,669.9,203,Y,051-610-4644,,민락지구,,,,미적용,,410,12,,,,부산 수영구,051-610-4644,2019-06-30
동백공원,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 해운대구 우동 710-1,부산광역시 해운대구 우동 710-1,35.153587,129.151932,16500,5000,Y,051-749-6165,,해운대지구,,,,미적용,,460,40,,,,부산 해운대구,051-749-6165,2019-06-30
한국유리 본관 앞 주차장,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 일광면 일광로 188,부산광역시 기장군 일광면 일광로 188,35.2685442775,129.243425598,264,80,Y,051-709-5427,,학리-이동지구,,,,미적용,,200,14,,,,부산 기장군,051-709-5427,2019-06-30
달맞이고개,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 해운대구 중2동 974-1,부산광역시 해운대구 중2동 974-1,35.156866,129.182299,3300,1000,Y,051-749-6165,,해운대지구,,,,미적용,,590,26,,,,부산 해운대구,051-749-6165,2019-06-30
백산,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 수영구 민락동 34-10,부산광역시 수영구 민락동 34-10,35.1572614688,129.125408,4950,1500,Y,051-610-4644,,민락지구,,,,미적용,,650,40,,,,부산 수영구,051-610-4644,2019-06-30
민락초등학교,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 수영구 광안2동 154-1,부산광역시 수영구 광안2동 154-1,35.157414,129.118085,7256.7,2199,Y,051-610-4644,,민락지구,,,,미적용,,600,29,,,,부산 수영구,051-610-4644,2019-06-30
광안초등학교,지진해일대피소,지진해일 긴급대피장소,운동장,부산광역시 수영구 광안동 154,부산광역시 수영구 광안동 154,35.1572011894,129.116731883,4950,1500,Y,051-610-4646,,광안지구,,,,미적용,,450,11,,,,부산 수영구,051-610-4646,2019-06-30
코오롱하늘채아파트,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 수영구 민락동 12-1,부산광역시 수영구 민락동 12-1,35.160947,129.127105,3300,1000,Y,051-610-4644,,남천지구,,,,미적용,,370,28,,,,부산 수영구,051-610-4644,2019-06-30
이동마을 뒷산,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 일광면 이천리 221-4,부산광역시 기장군 일광면 이천리 221-4,35.162448,129.143692,1320,400,Y,051-709-5427,,학리-이동지구,,,,미적용,,500,14,,,,부산 기장군,051-709-5427,2019-06-30
수영구청,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 수영구 민락동 327-2,부산광역시 수영구 민락동 327-2,35.1613685151,129.126584233,3300,1000,Y,051-610-4644,,남천지구,,,,미적용,,410,21,,,,부산 수영구,051-610-4644,2019-06-30
부경대수산과학연구소 앞 야산,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 일광면 동백리 241-3,부산광역시 기장군 일광면 동백리 241-3,35.170725,129.152434,2145,650,Y,051-709-5427,,동백지구,,,,미적용,,320,17,,,,부산 기장군,051-709-5427,2019-06-30
해운대청소년수련원일대,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 해운대구 송정동 산86-25,부산광역시 해운대구 송정동 산86-25,35.173852,129.195498,16500,5000,Y,051-749-6165,,송정지구,,,,미적용,,460,35,,,,부산 해운대구,051-749-6165,2019-06-30
죽도공원,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 해운대구 송정동 산52-1,부산광역시 해운대구 송정동 산52-1,35.1799190619,129.206079712,3300,1000,Y,051-749-6165,,송정지구,,,,미적용,,100,12,,,,부산 해운대구,051-749-6165,2019-06-30
죽성국수당,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 기장읍 죽성리 257,부산광역시 기장군 기장읍 죽성리 257,35.194500,129.163600,1650,500,Y,051-709-5427,,월전-죽성지구,,,,미적용,,400,16,,,,부산 기장군,051-709-5427,2019-06-30
월내야산(삼막골),지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 장안읍 월내리 286-2,부산광역시 기장군 장안읍 월내리 286-2,35.194500,129.163600,2310,700,Y,051-709-5427,,월내-길천지구,,,,미적용,,400,26,,,,부산 기장군,051-709-5427,2019-06-30
국립수산과학원 정문 앞 도로,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 기장읍 시랑리 408-1,부산광역시 기장군 기장읍 시랑리 408-1,35.1910958064,129.222285606,660,200,Y,033-123-4567,,동암지구,,,,미적용,,500,14,,,,부산 기장군,033-123-4567,2019-06-30
속초감리교회,지진해일대피소,지진해일 긴급대피장소,공터,강원도 속초시 동명동 338,강원도 속초시 동명동 338,35.212530,129.221761,4950,1500,Y,033-639-2685,,동명지구,,,,미적용,,450,39,,,,속초시,033-639-2685,2019-06-30
대항교회,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 기장읍 대변리 149,부산광역시 기장군 기장읍 대변리 149,35.226170,129.228534,990,300,Y,051-721-2269,,대변지구,,,,미적용,,350,11,,,,부산 기장군,051-721-2269,2019-06-30
학리마을 뒷산,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 일광면 학리 176,부산광역시 기장군 일광면 학리 176,35.256975,129.243405,990,300,Y,051-709-5427,,학리-이동지구,,,,미적용,,300,23,,,,부산 기장군,051-709-5427,2019-06-30
문동마을 뒷산,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 일광면 문동리 산25-3,부산광역시 기장군 일광면 문동리 산25-3,35.287398,129.254033,1650,500,Y,051-709-5427,,칠암-문동지구,,,,미적용,,600,42,,,,부산 기장군,051-709-5427,2019-06-30
칠암초등학교,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 일광면 칠암리 134,부산광역시 기장군 일광면 칠암리 134,35.2987514122,129.255910467,990,300,Y,051-727-0760,,칠암-문동지구,,,,적용,1등급,200,11,,,,부산 기장군,051-727-0760,2019-06-30
기장문화예절학교,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 장안읍 월내리 579,부산광역시 기장군 장안읍 월내리 579,35.3254953396,129.26827765,2970,900,Y,051-728-8022,,월내-길천지구,,,,적용,2등급,550,34,,,,부산 기장군,051-728-8022,2019-06-30
임랑야산(대덕사),지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 기장군 장안읍 임랑리 97-10,부산광역시 기장군 장안읍 임랑리 97-10,35.327456,129.277202,1155,350,Y,051-709-5427,,임랑지구,,,,미적용,,400,11,,,,부산 기장군,051-709-5427,2019-06-30
고리스포츠문화센터,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 기장군 장안읍 길천리 85,부산광역시 기장군 장안읍 길천리 85,35.329468,129.287951,4950,1500,Y,051-726-5195,,월내-길천지구,,,,적용,1등급,500,14,,,,부산 기장군,051-726-5195,2019-06-30
소망교회주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 서생면 신암리 324,울산광역시 울주군 서생면 신암리 324,35.3450975,129.3199328,330,100,Y,052-204-2318,,신암지구,,,,미적용,,300,17,,,,울산 울주군,052-204-2318,2019-06-30
신암회관마당,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 서생면 신암리 454,울산광역시 울주군 서생면 신암리 454,35.3490640,129.3234210,330,100,Y,052-204-2318,,신암지구,,,,미적용,,300,12,,,,울산 울주군,052-204-2318,2019-06-30
서생면사무소주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 서생면 신암리 245-2,울산광역시 울주군 서생면 신암리 245-2,35.3500744,129.3263825,1320,400,Y,052-204-2318,,신암지구,,,,미적용,,250,17,,,,울산 울주군,052-204-2318,2019-06-30
서생중학교운동장,지진해일대피소,지진해일 긴급대피장소,운동장,울산광역시 울주군 서생면 신암리 8-1,울산광역시 울주군 서생면 신암리 8-1,35.3505775,129.3312039,990,300,Y,052-204-2318,,나사지구,,,,미적용,,350,15,,,,울산 울주군,052-204-2318,2019-06-30
서생중학교운동장,지진해일대피소,지진해일 긴급대피장소,운동장,울산광역시 울주군 서생면 신암리 8-1,울산광역시 울주군 서생면 신암리 8-1,35.3505775,129.331214,990,300,Y,052-204-2318,,신암지구,,,,미적용,,350,15,,,,울산 울주군,052-204-2318,2019-06-30
평동어촌계회관마당,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 서생면 대송리 67-2,울산광역시 울주군 서생면 대송리 67-2,35.3562241,129.353246,396,120,Y,052-204-2318,,평동지구,,,,미적용,,120,10,,,,울산 울주군,052-204-2318,2019-06-30
평동회관마당,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 서생면 대송리 77-2,울산광역시 울주군 서생면 대송리 77-2,35.3566822,129.353348,165,50,Y,052-204-2318,,평동지구,,,,미적용,,210,12,,,,울산 울주군,052-204-2318,2019-06-30
호소공원버스정류장,지진해일대피소,지진해일 긴급대피장소,기타,울산광역시 울주군 서생면 나사리 산15-6,울산광역시 울주군 서생면 나사리 산15-6,35.356941,129.343412,660,200,Y,052-204-2318,,나사지구,,,,미적용,,200,13,,,,울산 울주군,052-204-2318,2019-06-30
대송학생야영장운동장,지진해일대피소,지진해일 긴급대피장소,운동장,울산광역시 울주군 서생면 대송리 195,울산광역시 울주군 서생면 대송리 195,35.3593669,129.3574826,330,100,Y,052-204-2318,,대송송정지구,,,,미적용,,350,23,,,,울산 울주군,052-204-2318,2019-06-30
송정회관마당,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 서생면 대송리 335-6,울산광역시 울주군 서생면 대송리 335-6,35.3662329,129.353423,165,50,Y,052-204-2318,,대송송정지구,,,,미적용,,300,23,,,,울산 울주군,052-204-2318,2019-06-30
성동초등학교,지진해일대피소,지진해일 긴급대피장소,기타,울산광역시 울주군 서생면 서생리 387,울산광역시 울주군 서생면 서생리 387,35.3855388,129.341763,1650,500,Y,052-204-2318,,진하지구,,,,적용,1등급,520,9,,,,울산 울주군,052-204-2318,2019-06-30
진하회관,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 서생면 진하리 255,울산광역시 울주군 서생면 진하리 255,35.3865930,129.342526,330,100,Y,052-204-2318,,진하지구,,,,미적용,,580,6,,,,울산 울주군,052-204-2318,2019-06-30
만포횟집마당,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 온산읍 강양리 91-1,울산광역시 울주군 온산읍 강양리 91-1,35.3911672,129.3471966,165,50,Y,052-204-2318,,강양지구,,,,미적용,,200,16,,,,울산 울주군,052-204-2318,2019-06-30
야산(공터),지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 울주군 온산읍 강양리 161,울산광역시 울주군 온산읍 강양리 161,35.3936726,129.3452768,495,150,Y,052-204-2318,,강양지구,,,,미적용,,210,9,,,,울산 울주군,052-204-2318,2019-06-30
화암초등학교(운동장),지진해일대피소,지진해일 긴급대피장소,운동장,울산광역시 동구 방어동 1150,울산광역시 동구 방어동 1150,35.4842146,129.415682,2640,800,Y,052-209-3688,,방어지구,,,,미적용,,300,21,,,,울산 동구,052-209-3688,2019-06-30
성끝마을 수협위판장 뒤 야산,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 동구 방어동 18-32,울산광역시 동구 방어동 18-32,35.484407,129.432083,990,300,Y,052-209-3688,,방어지구,,,,미적용,,150,18,,,,울산 동구,052-209-3688,2019-06-30
방어진초등학교(운동장),지진해일대피소,지진해일 긴급대피장소,운동장,울산광역시 동구 방어동 146,울산광역시 동구 방어동 146,35.4873269,129.424769,2640,800,Y,052-209-3688,,방어지구,,,,미적용,,500,17,,,,울산 동구,052-209-3688,2019-06-30
대왕암 앞 공영주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 동구 일산동 901-8,울산광역시 동구 일산동 901-8,35.4904184946,129.435244997,990,300,Y,052-209-3688,,일산지구,,,,미적용,,170,18,,,,울산 동구,052-209-3688,2019-06-30
일산지 공영주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 동구 일산동 963,울산광역시 동구 일산동 963,35.494610,129.428744,990,300,Y,052-209-3688,,일산지구,,,,미적용,,230,17,,,,울산 동구,052-209-3688,2019-06-30
고늘마을 현대주차장 옆 공터,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 동구 일산동 305-4,울산광역시 동구 일산동 305-4,35.501862,129.434494,990,300,Y,052-209-3688,,일산지구,,,,미적용,,160,28,,,,울산 동구,052-209-3688,2019-06-30
장생포항 야산,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 남구 야음장생포동 산102-1,울산광역시 남구 야음장생포동 산102-1,35.502707,129.371267,660,200,Y,052-266-3501,,장생포해안지구,,,,미적용,,250,12,,,,남구,052-266-3501,2019-06-30
장생포복지문화센터,지진해일대피소,지진해일 긴급대피장소,기타,울산광역시 남구 야음장생포동 41-4,울산광역시 남구 야음장생포동 41-4,35.502885,129.377578,330,100,Y,052-226-2651,,장생포해안지구,,,,적용,2등급,60,17,,,,울산 남구,052-226-2651,2019-06-30
장생포초등학교,지진해일대피소,지진해일 긴급대피장소,운동장,울산광역시 남구 야음장생포동 329-1,울산광역시 남구 야음장생포동 329-1,35.503481,129.368254,1650,500,Y,052-268-8882,,장생포해안지구,,,,미적용,,140,11,,,,울산 남구,052-268-8882,2019-06-30
울산항만공사,지진해일대피소,지진해일 긴급대피장소,기타,울산광역시 남구 매암동 180,울산광역시 남구 매암동 180,35.504897,129.382843,330,100,Y,052-225-5325,,장생포해안지구,,,,적용,특등급,100,14,,,,울산 남구,052-225-5325,2019-06-30
고래문화마을,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 남구 장생포동 232,울산광역시 남구 장생포동 232,35.505382,129.379526,99000,30000,Y,052-226-0304,,장생포해안지구,,,,미적용,,280,21,,,,울산 남구,052-226-0304,2019-06-30
태영인더스트리사택 앞 주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 남구 야음장생포동 267-7,울산광역시 남구 야음장생포동 267-7,35.505649,129.374527,660,200,Y,052-266-3501,,장생포해안지구,,,,미적용,,360,18,,,,남구,052-266-3501,2019-06-30
주전초등학교(운동장),지진해일대피소,지진해일 긴급대피장소,운동장,울산광역시 동구 주전동 277,울산광역시 동구 주전동 277,35.5579707,129.456926,1650,500,Y,052-209-3688,,주전지구,,,,미적용,,90,18,,,,울산 동구,052-209-3688,2019-06-30
주전 커피나뜨래 뒤 야산,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 동구 주전동 14,울산광역시 동구 주전동 14,35.566976,129.452916,990,300,Y,052-209-3688,,주전지구,,,,미적용,,200,18,,,,울산 동구,052-209-3688,2019-06-30
어물동 야산,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 어물동 산372,울산광역시 북구 어물동 산372,35.575367,129.449477,990,300,Y,052-241-7833,,당사지구,,,,미적용,,200,15,,,,울산 북구,052-241-7833,2019-06-30
(구)동해초등학교 운동장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 당사동 465-2,울산광역시 북구 당사동 465-2,35.5817995,129.4547134,660,200,Y,052-241-7833,,당사지구,,,,미적용,,150,14,,,,울산 북구,052-241-7833,2019-06-30
강동축구장 주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 당사동 214,울산광역시 북구 당사동 214,35.587707,129.456464,990,300,Y,052-241-7833,,당사지구,,,,미적용,,300,18,,,,울산 북구,052-241-7833,2019-06-30
우가경로당 주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 당사동 116-5,울산광역시 북구 당사동 116-5,35.5956645,129.462936,99,30,Y,052-241-7833,,당사지구,,,,미적용,,70,12,,,,울산 북구,052-241-7833,2019-06-30
제전마을 야산,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 구유동 82-3,울산광역시 북구 구유동 82-3,35.605254,129.457451,660,200,Y,052-241-7833,,구유지구,,,,미적용,,200,20,,,,울산 북구,052-241-7833,2019-06-30
복성마을 야산,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 구유동 산64,울산광역시 북구 구유동 산64,35.607875,129.455147,330,100,Y,052-241-7833,,구유지구,,,,미적용,,150,22,,,,울산 북구,052-241-7833,2019-06-30
정자오피스텔 주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 구유동 232,울산광역시 북구 구유동 232,35.611467,129.4570829,990,300,Y,052-241-7833,,구유지구,,,,미적용,,100,12,,,,울산 북구,052-241-7833,2019-06-30
(구)강동중학교 운동장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 정자동 272,울산광역시 북구 정자동 272,35.6138669,129.444137,1320,400,Y,052-241-7833,,정자지구,,,,미적용,,500,16,,,,울산 북구,052-241-7833,2019-06-30
(구)강동초등학교 운동장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 정자동 321,울산광역시 북구 정자동 321,35.615877,129.446843,1320,400,Y,052-241-7833,,정자지구,,,,미적용,,250,11,,,,울산 북구,052-241-7833,2019-06-30
벽산 아진아파트 주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 정자동 3,울산광역시 북구 정자동 3,35.619948,129.4474082325,1650,500,Y,052-241-7833,,정자지구,,,,미적용,,100,21,,,,울산 북구,052-241-7833,2019-06-30
알로하모텔 주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 정자동 435,울산광역시 북구 정자동 435,35.6213170,129.4457240,990,300,Y,052-241-7833,,정자지구,,,,미적용,,100,13,,,,울산 북구,052-241-7833,2019-06-30
시코어 호텔 주차장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 산하동 55-1,울산광역시 북구 산하동 55-1,35.6341717,129.441828,660,200,Y,052-241-7833,,산하지구,,,,미적용,,80,11,,,,울산 북구,052-241-7833,2019-06-30
교육수련원 운동장,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 신명동 153-5,울산광역시 북구 신명동 153-5,35.6411962,129.439443,660,200,Y,052-241-7833,,신명지구,,,,미적용,,150,11,,,,울산 북구,052-241-7833,2019-06-30
신명동 야산,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 신명동 134-2,울산광역시 북구 신명동 134-2,35.644428,129.439227,330,100,Y,052-241-7833,,신명지구,,,,미적용,,230,24,,,,울산 북구,052-241-7833,2019-06-30
지경IC,지진해일대피소,지진해일 긴급대피장소,공터,울산광역시 북구 신명동 산1-2,울산광역시 북구 신명동 산1-2,35.651001,129.447860,330,100,Y,052-241-7833,,신명지구,,,,미적용,,150,20,,,,울산 북구,052-241-7833,2019-06-30
바다모텔 옆 야산,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 경주시 양남면 수렴리 산120,경상북도 경주시 양남면 수렴리 산120,35.659060,129.450900,660,200,Y,054-779-6508,,관성지구,,,,미적용,,120,15,,,,경주시,054-779-6508,2019-06-30
통일로 토종순대국,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 경주시 양남면 수렴리 94-1,경상북도 경주시 양남면 수렴리 94-1,35.6673454834,129.462679555,1650,500,Y,054-779-6508,,관성지구,,,,미적용,,150,15,,,,경주시,054-779-6508,2019-06-30
현대자동차 수련원,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 경주시 양남면 수렴리 240-6,경상북도 경주시 양남면 수렴리 240-6,35.668640,129.458600,3300,1000,Y,054-779-6508,,관성지구,,,,미적용,,300,20,,,,경주시,054-779-6508,2019-06-30
양남중학교 운동장,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 경주시 양남면 하서리 651,경상북도 경주시 양남면 하서리 651,35.6740340309,129.461122771,3300,1000,Y,054-779-6508,,하서지구,,,,미적용,,400,15,,,,경주시,054-779-6508,2019-06-30
카리브모텔 뒤 야산,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 경주시 양남면 하서리 25-3,경상북도 경주시 양남면 하서리 25-3,35.682260,129.470100,3300,1000,Y,054-779-6508,,하서지구,,,,미적용,,150,20,,,,경주시,054-779-6508,2019-06-30
읍천1리 마을회관 뒤 솔밭,지진해일대피소,지진해일 긴급대피장소,공터,경상북도 경주시 양남면 읍천리 363,경상북도 경주시 양남면 읍천리 363,35.690550,129.472300,9900,3000,Y,054-779-6508,,읍천지구,,,,미적용,,140,20,,,,경주시,054-779-6508,2019-06-30
나산초등학교,지진해일대피소,지진해일 긴급대피장소,운동장,경상북도 경주시 양남면 읍천리 17,경상북도 경주시 양남면 읍천리 17,35.6977005246,129.469979797,3300,1000,Y,054-779-6508,,나아지구,,,,미적용,,400,15,,,,경주시,054-779-6508,2019-06-30
